ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10688,26,2447.278486,0.415898931,280.1595857,0.441714279,1.858211476
10689,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10690,4,844.74351,0.358311976,306.5395644,0.066796109,1.836476497
10691,4,256.059637,-3.270604581,-282.1443086,0.028162634,1.437794117
10692,6,1007.275325,-0.074944159,320.9882017,0.099326675,1.738009285
10693,4,912.834999,0.729466152,374.6310534,0.088910896,1.686964248
10694,4,360.263791,-2.599607774,-177.9401546,0.03702666,1.806731362
10695,10,1422.401852,0.431868026,439.9483733,0.198179071,1.876747017
10696,51,4024.242469,2.558491785,6.083847384,2.24966625,1.825544851
10697,2,135.641392,-1.317710906,-254.4793759,0.021316574,1.816757583
10698,8,1057.903589,-1.736366032,223.533288,0.094090144,1.762163337
10699,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10700,3,272.495572,-1.752398401,-191.6667847,0.030900207,1.442372035
10701,1,1.944663,-0.710483421,-314.134516,0.021612167,2.149981543
10702,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10703,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10704,3,776.922814,0.681973616,312.7604573,0.060175668,1.72914293
10705,3,776.922814,0.66935054,312.7604573,0.053322369,1.768033223
10707,2,253.645516,-0.986201396,-136.4752519,0.025895346,1.799137094
10708,3,776.922813,0.673098227,312.7604563,0.059728482,1.704131321
10710,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
10711,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10713,4,363.16179,-2.725730099,-175.0421556,0.036690642,1.80254657
10714,4,815.720393,-0.013057073,277.5164474,0.06653488,1.654379457
10715,31,2601.158502,-0.249471644,63.83165742,0.405956597,1.798115066
10716,3,292.443095,-2.039422872,-171.7192617,0.032438685,1.683950197
10717,6,918.557511,-1.199703139,232.2703877,0.078804881,1.822897661
10718,5,923.891912,0.124386236,311.6463776,0.131349082,1.928085603
10719,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10721,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10722,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10723,4,332.544838,-3.676605099,-205.6591076,0.03543863,1.457890126
10724,6,918.557511,-1.199703139,232.2703877,0.078804881,1.822897661
10725,31,2228.970172,-2.239160154,-308.3566726,0.483510547,1.642177027
10726,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10727,2,253.645516,-0.986201396,-136.4752519,0.025895346,1.799137094
10728,5,853.634814,-1.138408919,241.3892796,0.072524407,1.61284938
10729,4,900.65705,0.681791474,362.4531044,0.088379488,1.705722955
